Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details),amount_dollars
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Office of the Worker Adviser,,Services,,2444600
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Office of the Worker Adviser,,Supplies and equipment,,104160
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Office of the Employer Adviser,,Salaries and wages,,2720388
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Office of the Employer Adviser,,Employee benefits,,704208
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Office of the Employer Adviser,,Transportation and communication,,35064
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Office of the Employer Adviser,,Services,,128277
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Office of the Employer Adviser,,Supplies and equipment,,16955
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Prevention Office,,Salaries and wages,,10080372
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Prevention Office,,Employee benefits,,1408170
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Prevention Office,,Transportation and communication,,87752
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Prevention Office,,Services,,3429163
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Prevention Office,,Supplies and equipment,,29266
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Prevention Office,,Transfer payments,Health and Safety Associations,104855322
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Prevention Office,,Transfer payments,Prevention Research,9790287
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Prevention Office,,Transfer payments,Prevention Grants,2598721
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Rights and Responsibilities Program,Employment Standards,,Salaries and wages,,28323310
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Rights and Responsibilities Program,Employment Standards,,Employee benefits,,4488749
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Rights and Responsibilities Program,Employment Standards,,Transportation and communication,,408478
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Rights and Responsibilities Program,Employment Standards,,Services,,5414799
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Rights and Responsibilities Program,Employment Standards,,Supplies and equipment,,118254
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Ontario,Employment Ontario System,,Salaries and wages,,85055544
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Ontario,Employment Ontario System,,Employee benefits,,13315474
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Ontario,Employment Ontario System,,Transportation and communication,,1280875
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Ontario,Employment Ontario System,,Services,,23332830
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Ontario,Employment Ontario System,,Supplies and equipment,,226607
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Ontario,Employment Ontario System,,Transfer payments,Labour Market and Training,5137
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Ontario,Employment Ontario System,,Transfer payments,Ontario Co-operative Education Tax Credit,116276000
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Ontario,Employment Ontario System,,Transfer payments,Ontario Jobs Training Tax Credit,7801200
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Ontario,Employment Ontario System,,Transfer payments,Employment and Training,1163764981
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Ontario,Ontario Fairness Commissioner,,Salaries and wages,,1157907
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Ontario,Ontario Fairness Commissioner,,Employee benefits,,147834
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Ontario,Ontario Fairness Commissioner,,Transportation and communication,,4851
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Ontario,Ontario Fairness Commissioner,,Services,,918083
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Ontario,Ontario Fairness Commissioner,,Supplies and equipment,,2637
"Labour, Immigration, Training and Skills Development",Operating Expense,Employment Ontario,Statutory Appropriations,,Other transactions,"Bad Debt Expense, the Financial Administration Act",393934
"Labour, Immigration, Training and Skills Development",Operating Expense,Global Talent and Adult Language Training,Ontario Immigrant Nominee Program,,Salaries and wages,,15503059
"Labour, Immigration, Training and Skills Development",Operating Expense,Global Talent and Adult Language Training,Ontario Immigrant Nominee Program,,Employee benefits,,2386310
"Labour, Immigration, Training and Skills Development",Operating Expense,Global Talent and Adult Language Training,Ontario Immigrant Nominee Program,,Transportation and communication,,248834
"Labour, Immigration, Training and Skills Development",Operating Expense,Global Talent and Adult Language Training,Ontario Immigrant Nominee Program,,Services,,7384777
"Labour, Immigration, Training and Skills Development",Operating Expense,Global Talent and Adult Language Training,Ontario Immigrant Nominee Program,,Supplies and equipment,,81561
"Labour, Immigration, Training and Skills Development",Operating Expense,Global Talent and Adult Language Training,Ontario Immigrant Nominee Program,,Other Transactions,,187
"Labour, Immigration, Training and Skills Development",Operating Expense,Global Talent and Adult Language Training,Adult Language Training Program,,Salaries and wages,,4253025
"Labour, Immigration, Training and Skills Development",Operating Expense,Global Talent and Adult Language Training,Adult Language Training Program,,Employee benefits,,707793
"Labour, Immigration, Training and Skills Development",Operating Expense,Global Talent and Adult Language Training,Adult Language Training Program,,Transportation and communication,,19489
"Labour, Immigration, Training and Skills Development",Operating Expense,Global Talent and Adult Language Training,Adult Language Training Program,,Services,,197940
"Labour, Immigration, Training and Skills Development",Operating Expense,Global Talent and Adult Language Training,Adult Language Training Program,,Supplies and equipment,,6124
"Labour, Immigration, Training and Skills Development",Operating Expense,Global Talent and Adult Language Training,Adult Language Training Program,,Transfer payments,Settlement and Integration Transfer Payment,89750203
"Labour, Immigration, Training and Skills Development",Capital Expense,Occupational Health and Safety Program,Occupational Health and Safety,,Other transactions,,135222
"Labour, Immigration, Training and Skills Development",Capital Expense,Occupational Health and Safety Program,Prevention Office Capital,,Transfer payments,Health and Safety Associations Capital,3207069
"Labour, Immigration, Training and Skills Development",Capital Expense,Occupational Health and Safety Program,Statutory Appropriations,,Other transactions,"Amortization, the Financial Administration Act",327936
"Labour, Immigration, Training and Skills Development",Capital Expense,Employment Rights and Responsibilities Program,Statutory Appropriations,,Other transactions,"Amortization, the Financial Administration Act",1140384
"Labour, Immigration, Training and Skills Development",Capital Expense,Employment Ontario,Employment Ontario System,,Transfer payments,Apprenticeship Enhancement Fund,23721906
"Labour, Immigration, Training and Skills Development",Capital Expense,Employment Ontario,Employment Ontario System,,Transfer payments,Skills Development Fund Capital,30278094
